Date,V/m2
2018/5/1,4.80395E+11
2018/5/2,4.80428E+11
2018/5/3,4.80503E+11
2018/5/4,4.80663E+11
2018/5/5,4.80386E+11
2018/5/6,4.80344E+11
2018/5/7,4.80369E+11
2018/5/8,4.80369E+11
2018/5/9,4.80336E+11
2018/5/10,4.80596E+11
2018/5/11,4.80286E+11
2018/5/12,4.80302E+11
2018/5/13,4.80462E+11
2018/5/14,4.80495E+11
2018/5/15,4.80537E+11
2018/5/16,4.80529E+11
2018/5/17,4.80529E+11
2018/5/18,4.80043E+11
2018/5/19,4.80428E+11
2018/5/20,4.80663E+11
2018/5/21,4.80512E+11
2018/5/22,4.8057E+11
2018/5/23,4.80704E+11
2018/5/24,4.80612E+11
2018/5/25,4.80579E+11
2018/5/26,4.8057E+11
2018/5/27,4.80554E+11
2018/5/28,4.80579E+11
2018/5/29,4.80462E+11
2018/5/30,4.80436E+11
2018/5/31,4.80554E+11
2018/6/1,4.80621E+11
2018/6/2,4.80453E+11
2018/6/3,4.80537E+11
2018/6/4,4.8088E+11
2018/6/5,4.80721E+11
2018/6/6,4.80512E+11
2018/6/7,4.80495E+11
2018/6/8,4.80445E+11
2018/6/9,4.80353E+11
2018/6/10,4.80252E+11
2018/6/11,4.8026E+11
2018/6/12,4.80411E+11
2018/6/13,4.80704E+11
2018/6/14,4.80646E+11
2018/6/15,4.80529E+11
2018/6/16,4.80503E+11
2018/6/17,4.8047E+11
2018/6/18,4.80646E+11
2018/6/19,4.80436E+11
2018/6/20,4.80411E+11
2018/6/21,4.80294E+11
2018/6/22,4.80043E+11
2018/6/23,4.80495E+11
2018/6/24,4.80545E+11
2018/6/25,4.80436E+11
2018/6/26,4.80327E+11
2018/6/27,4.80545E+11
2018/6/28,4.80688E+11
2018/6/29,4.80537E+11
2018/6/30,4.80612E+11
2018/7/1,4.80537E+11
2018/7/2,4.80562E+11
2018/7/3,4.8042E+11
2018/7/4,4.80478E+11
2018/7/5,4.80587E+11
2018/7/6,4.80487E+11
2018/7/7,4.80319E+11
2018/7/8,4.80428E+11
2018/7/9,4.80529E+11
2018/7/10,4.80529E+11
2018/7/11,4.80319E+11
2018/7/12,4.80353E+11
2018/7/13,4.80361E+11
2018/7/14,4.80336E+11
2018/7/15,4.80353E+11
2018/7/16,4.80378E+11
2018/7/17,4.80411E+11
2018/7/18,4.80269E+11
2018/7/19,4.80168E+11
2018/7/20,4.80219E+11
2018/7/21,4.80143E+11
2018/7/22,4.8011E+11
2018/7/23,4.80168E+11
2018/7/24,4.8026E+11
2018/7/25,4.80386E+11
2018/7/26,4.80478E+11
2018/7/27,4.80436E+11
2018/7/28,4.80487E+11
2018/7/29,4.80302E+11
2018/7/30,4.80193E+11
2018/7/31,4.8011E+11
2018/8/1,4.80436E+11
2018/8/2,4.80252E+11
2018/8/3,4.80185E+11
2018/8/4,4.80219E+11
2018/8/5,4.8021E+11
2018/8/6,4.80219E+11
2018/8/7,4.80369E+11
2018/8/8,4.80403E+11
2018/8/9,4.80327E+11
2018/8/10,4.80068E+11
2018/8/11,4.80093E+11
2018/8/12,4.80043E+11
2018/8/13,4.80034E+11
2018/8/14,4.80244E+11
2018/8/15,4.80252E+11
2018/8/16,4.80177E+11
2018/8/17,4.80277E+11
2018/8/18,4.79992E+11
2018/8/19,4.80018E+11
2018/8/20,4.799E+11
2018/8/21,4.80353E+11
2018/8/22,4.80336E+11
2018/8/23,4.80336E+11
2018/8/24,4.80059E+11
2018/8/25,4.80177E+11
2018/8/26,4.80193E+11
2018/8/27,4.80076E+11
2018/8/28,4.80235E+11
2018/8/29,4.80219E+11
2018/8/30,4.79917E+11
2018/8/31,4.79917E+11
2018/9/1,4.79934E+11
2018/9/2,4.80068E+11
2018/9/3,4.80043E+11
2018/9/4,4.79942E+11
2018/9/5,4.80001E+11
2018/9/6,4.79934E+11
2018/9/7,4.79791E+11
2018/9/8,4.79255E+11
2018/9/9,4.78887E+11
2018/9/10,4.7954E+11
2018/9/11,4.79976E+11
2018/9/12,4.79833E+11
2018/9/13,4.79808E+11
2018/9/14,4.79867E+11
2018/9/15,4.79875E+11
2018/9/16,4.79867E+11
2018/9/17,4.79875E+11
2018/9/18,4.80001E+11
2018/9/19,4.79842E+11
2018/9/20,4.79724E+11
2018/9/21,4.80336E+11
2018/9/22,4.79783E+11
2018/9/23,4.79699E+11
2018/9/24,4.79523E+11
2018/9/25,4.79892E+11
2018/9/26,4.80126E+11
2018/9/27,4.798E+11
2018/9/28,4.80085E+11
2018/9/29,4.79917E+11
2018/9/30,4.79699E+11
2018/10/1,4.79389E+11
